Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Clueless8_Trading,$GOOGL Monster Winner$ 21,299,3/7/18 21:37,9.715E+17,0,0,GOOGLE,Twitter
Radu Budeanu,"RT @KimbleCharting: Nasdaq working on triple breakout, one of them being the top of 15-year rising channel. $NDX $QQQ $AAPL $FB $GOOGL $AMâ€¦",244,3/7/18 21:36,9.715E+17,0,43,GOOGLE,Twitter
PETITION,America's Second-Largest Retailer is Closing Stores by @mitchnolen $KR $OSTK $AAPL $GOOGL $BABA $AMZN $WMT,27,3/7/18 21:32,9.71499E+17,1,4,GOOGLE,Twitter
InvestorIdeas.com,"Investor Ideas #SelfDriving #Car #Stocks Directory includes $GOPH, $TSLA, $INTC, $GOOG, $GOOGL, $STM, $APTV, $ALV,â€¦",7177,3/7/18 21:30,9.71498E+17,0,0,GOOGLE,Twitter
Call Me Baloo ðŸ»,"@JohnConaway If u add market expectations on $NFLX $GOOGL $FB $APPLE u get a huge number, that number represents thâ€¦",841,3/7/18 21:25,9.71497E+17,1,0,GOOGLE,Twitter
Breaking News Now,$GOOG $GOOGL: Equity Risk Premium In Todayâ€™s Market:,0,3/7/18 21:18,9.71495E+17,0,0,GOOGLE,Twitter
Financial Controls Û©,RT @MountainVision: #YouTubeCensorship #1A #FirstAmendment $GOOGL,12664,3/7/18 21:16,9.71495E+17,0,11,GOOGLE,Twitter
ProVesting,$BABA $SSNLF $AAPL $T $GOOGL: Chinese Smartphone Maker Xiaomi Might Be Picking Best Possible â€¦: 2,6,3/7/18 21:15,9.71494E+17,0,0,GOOGLE,Twitter
Bernd Nurnberger,"RT @IEEESpectrum: Google is carrying out research on hypersonics, probably for new technologies to slash the cost of geothermal energy andâ€¦",2187,3/7/18 21:10,9.71493E+17,0,7,GOOGLE,Twitter
Eric McWhinnie,"I can see Google's marketing campaign now: ""Buy Google Home, it won't plot to kill you in the middle of the night.""â€¦",1129,3/7/18 21:06,9.71492E+17,2,0,GOOGLE,Twitter
Option_Sniper,forgot to update this one $googl ... LOCKED 30 1110c @ 10 from 4.86. added 50 1120c @ 4.4. so now hold 50 1120c @ 4â€¦,29,3/7/18 21:05,9.71492E+17,7,0,GOOGLE,Twitter
Sheldon Cooper,$GOOGL very impressive day,82,3/7/18 21:05,9.71492E+17,1,0,GOOGLE,Twitter
Jim Thompson,what a day.. great wins on $googl $spy $baba.. holding $amzn $googl $baba $nvda + $spy puts for protection.. heavilâ€¦,41,3/7/18 21:03,9.71492E+17,2,0,GOOGLE,Twitter
Mr. Capone,$FB $GOOGL $AMZN leading the charge up the hill! European Commission to tax profits not revenue.,196,3/7/18 20:59,9.7149E+17,0,0,GOOGLE,Twitter
Anthony,$googl big green bullish engulfing on the daily,65,3/7/18 20:58,9.7149E+17,0,0,GOOGLE,Twitter
Breaking News Now,$GOOG $GOOGL: Google Has Hidden Value Behind Its â€œOther Betsâ€:,0,3/7/18 20:58,9.7149E+17,0,0,GOOGLE,Twitter
Ceazar,"RT @option_snipper: ask urself one Q only - w/ tech leader $nflx downgraded &amp; thus weak today, what would nasdaq $comp have looked like IFâ€¦",159,3/7/18 20:58,9.7149E+17,0,5,GOOGLE,Twitter
RenoardD'Otremere,"RT @politicalHEDGE: The Article Israelâ€™s Tax Authority is taking on Google, Facebook $FB $GOOGL â•‘ 9 â¬‡ Was Filed Inâ€¦",112,3/7/18 20:56,9.7149E+17,0,2,GOOGLE,Twitter
The Lincolnian,Alphabet Inc $GOOGL Shares Bought by Wealthsource Partners LLC,35,3/7/18 20:53,9.71489E+17,0,0,GOOGLE,Twitter
bigdog3004,"RT @option_snipper: ABSOLUTELY stunning day w/ TONS profits $spx $spy $amzn $googl $nvda $baba $bidu!!! seriously, TONS profits. just amaziâ€¦",800,3/7/18 20:52,9.71489E+17,0,1,GOOGLE,Twitter
Option_Sniper,"ABSOLUTELY stunning day w/ TONS profits $spx $spy $amzn $googl $nvda $baba $bidu!!! seriously, TONS profits. just aâ€¦",29,3/7/18 20:51,9.71489E+17,81,1,GOOGLE,Twitter
Farris BABA,$GOOGL going too,208,3/7/18 20:50,9.71488E+17,3,0,GOOGLE,Twitter
Carter Ross,@sassyoptions $TSLA $GOOGL $FB very strong today,8,3/7/18 20:48,9.71488E+17,1,0,GOOGLE,Twitter
WioNavi,"RT @InvestorIdeas: New Investor Ideas #SelfDriving #Car #Stock Stocks Directory: $GOPH, $TSLA, $INTC, $GOOG, $GOOGL, $STM, $APTV, $ALV, AVâ€¦",1042,3/7/18 20:48,9.71488E+17,0,2,GOOGLE,Twitter
avc,"RT @LMT978: $FDN HOD into the close FANGs still very strong and new highs is not a sign of distribution, FYI. $AMZN $FB $NFLX $GOOGL httpsâ€¦",4947,3/7/18 20:46,9.71487E+17,0,2,GOOGLE,Twitter
finzine,$NFLX $GOOGL Google Has a Diversity Problem. And a Lawsuit Problem. via,27,3/7/18 20:46,9.71487E+17,0,0,GOOGLE,Twitter
Richcue,RT @option_snipper: these $googl mar9 1110c now @ 8.9 from 4.86!!!! huge wins!!!!,299,3/7/18 20:44,9.71487E+17,0,1,GOOGLE,Twitter
Option_Sniper,these $googl mar9 1110c now @ 10.26 from 4.86!!! big win today!!!,29,3/7/18 20:44,9.71487E+17,10,0,GOOGLE,Twitter
